"354","N","MARKETED (NOTIFIED)","31-DEC-1965"
"371","Y","MARKETED (NOTIFIED)","26-MAR-2008"
"371","N","ADMINISTRATIVE CHANGE","20-MAR-2007"
"371","N","MARKETED (NOTIFIED)","26-OCT-2005"
"371","N","DISCONTINUED (BY COMPANY POST-MARKET)","05-AUG-2005"
"371","N","MARKETED (NOTIFIED)","31-DEC-1951"
"405","Y","MARKETED (NOTIFIED)","19-MAR-2012"
"405","N","ADMINISTRATIVE CHANGE","21-JUN-2011"
"405","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"405","N","ADMINISTRATIVE CHANGE","25-OCT-2010"
"405","N","MARKETED (NOTIFIED)","01-AUG-2002"
"405","N","ADMINISTRATIVE CHANGE","24-JUL-2002"
"405","N","ADMINISTRATIVE CHANGE","10-DEC-2001"
"405","N","MARKETED (NOTIFIED)","31-DEC-1957"
"406","Y","MARKETED (NOTIFIED)","05-MAR-2012"
"406","N","ADMINISTRATIVE CHANGE","21-JUN-2011"
"406","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"406","N","ADMINISTRATIVE CHANGE","25-OCT-2010"
"406","N","MARKETED (NOTIFIED)","01-AUG-2002"
"406","N","ADMINISTRATIVE CHANGE","24-JUL-2002"
"406","N","ADMINISTRATIVE CHANGE","22-NOV-2001"
"406","N","MARKETED (NOTIFIED)","31-DEC-1957"
"407","Y","MARKETED (NOTIFIED)","05-MAR-2012"
"407","N","ADMINISTRATIVE CHANGE","21-JUN-2011"
"407","N","MARKETED (NOTIFIED)","21-FEB-2011"
"407","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"407","N","ADMINISTRATIVE CHANGE","25-OCT-2010"
"407","N","MARKETED (NOTIFIED)","01-AUG-2002"
"407","N","ADMINISTRATIVE CHANGE","24-JUL-2002"
"407","N","ADMINISTRATIVE CHANGE","22-NOV-2001"
"407","N","MARKETED (NOTIFIED)","31-DEC-1957"
"408","Y","MARKETED (NOTIFIED)","05-MAR-2012"
"408","N","ADMINISTRATIVE CHANGE","21-JUN-2011"
"408","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"408","N","ADMINISTRATIVE CHANGE","25-OCT-2010"
"408","N","MARKETED (NOTIFIED)","01-AUG-2002"
"408","N","DISCONTINUED (BY COMPANY POST-MARKET)","31-JUL-2002"
"408","N","ADMINISTRATIVE CHANGE","24-JUL-2002"
"408","N","MARKETED (NOTIFIED)","31-DEC-1957"
"415","Y","MARKETED (NOTIFIED)","30-JUL-2004"
"415","N","ADMINISTRATIVE CHANGE","26-FEB-2004"
"415","N","MARKETED (NOTIFIED)","18-AUG-1998"
"415","N","ADMINISTRATIVE CHANGE","01-AUG-1997"
"415","N","MARKETED (NOTIFIED)","31-DEC-1946"
"425","Y","MARKETED (NOTIFIED)","03-FEB-2009"
"425","N","NOC ISSUED","22-SEP-2003"
"425","N","ADMINISTRATIVE CHANGE","16-SEP-2003"
"425","N","NOC ISSUED","06-JUN-2001"
"425","N","ADMINISTRATIVE CHANGE","30-MAY-2001"
"425","N","MARKETED (NOTIFIED)","29-MAR-2001"
"425","N","NOC ISSUED","15-JUN-1998"
"425","N","ADMINISTRATIVE CHANGE","08-MAY-1998"
"425","N","MARKETED (NOTIFIED)","31-DEC-1964"
"430","Y","MARKETED (NOTIFIED)","03-FEB-2009"
"430","N","NOC ISSUED","29-SEP-2003"
"430","N","ADMINISTRATIVE CHANGE","23-SEP-2003"
"430","N","MARKETED (NOTIFIED)","01-AUG-2002"
"430","N","NOC ISSUED","15-AUG-2001"
"430","N","ADMINISTRATIVE CHANGE","20-JUL-2001"
"430","N","MARKETED (NOTIFIED)","09-NOV-1998"
"430","N","NOC ISSUED","05-MAR-1998"
"430","N","ADMINISTRATIVE CHANGE","18-FEB-1998"
"430","N","MARKETED (NOTIFIED)","31-DEC-1961"
"431","Y","MARKETED (NOTIFIED)","10-JUL-2006"
"431","N","ADMINISTRATIVE CHANGE","09-SEP-2003"
"431","N","MARKETED (NOTIFIED)","03-MAR-2003"
"431","N","ADMINISTRATIVE CHANGE","20-JUL-2001"
"431","N","MARKETED (NOTIFIED)","01-AUG-2000"
"431","N","ADMINISTRATIVE CHANGE","14-MAY-1998"
"431","N","MARKETED (NOTIFIED)","31-DEC-1951"
"432","Y","MARKETED (NOTIFIED)","21-JUN-2005"
"432","N","ADMINISTRATIVE CHANGE","09-SEP-2003"
"432","N","MARKETED (NOTIFIED)","25-OCT-2002"
"432","N","ADMINISTRATIVE CHANGE","20-JUL-2001"
"432","N","MARKETED (NOTIFIED)","25-AUG-1998"
"432","N","ADMINISTRATIVE CHANGE","20-APR-1998"
"432","N","MARKETED (NOTIFIED)","31-DEC-1954"
"433","Y","MARKETED (NOTIFIED)","27-MAY-2005"
"433","N","ADMINISTRATIVE CHANGE","09-SEP-2003"
"433","N","MARKETED (NOTIFIED)","08-AUG-2002"
"433","N","ADMINISTRATIVE CHANGE","20-JUL-2001"
"433","N","MARKETED (NOTIFIED)","10-NOV-1998"
"433","N","ADMINISTRATIVE CHANGE","20-APR-1998"
"433","N","MARKETED (NOTIFIED)","31-DEC-1954"
"441","Y","MARKETED (NOTIFIED)","03-FEB-2009"
"441","N","NOC ISSUED","15-SEP-2003"
"441","N","ADMINISTRATIVE CHANGE","09-SEP-2003"
"441","N","MARKETED (NOTIFIED)","17-APR-2002"
"441","N","NOC ISSUED","13-FEB-2001"
"441","N","ADMINISTRATIVE CHANGE","07-FEB-2001"
"441","N","MARKETED (NOTIFIED)","26-MAR-1998"
"441","N","NOC ISSUED","29-MAY-1997"
"441","N","MARKETED (NOTIFIED)","31-DEC-1960"
"457","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"468","Y","MARKETED (NOTIFIED)","09-AUG-2005"
"468","N","ADMINISTRATIVE CHANGE","26-OCT-2004"
"468","N","ADMINISTRATIVE CHANGE","11-MAR-2002"
"468","N","MARKETED (NOTIFIED)","31-DEC-1967"
"502","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"503","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"507","Y","MARKETED (NOTIFIED)","29-APR-2014"
"507","N","ADMINISTRATIVE CHANGE","28-APR-2014"
"507","N","MARKETED (NOTIFIED)","31-DEC-1967"
"519","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"531","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"560","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"577","Y","MARKETED (NOTIFIED)","20-NOV-2013"
"577","N","ADMINISTRATIVE CHANGE","19-NOV-2013"
"577","N","MARKETED (NOTIFIED)","31-DEC-1967"
"578","Y","MARKETED (NOTIFIED)","31-DEC-1967"
"579","Y","MARKETED (NOTIFIED)","04-APR-2014"
"579","N","ADMINISTRATIVE CHANGE","03-APR-2014"
"579","N","MARKETED (NOTIFIED)","31-DEC-1967"
"584","Y","MARKETED (NOTIFIED)","06-DEC-2013"
"584","N","DISCONTINUED (BY COMPANY POST-MARKET)","03-JAN-2013"
"584","N","MARKETED (NOTIFIED)","10-MAY-2001"
"584","N","ADMINISTRATIVE CHANGE","28-MAR-2000"
"584","N","MARKETED (NOTIFIED)","31-DEC-1954"
"585","Y","MARKETED (NOTIFIED)","01-JUN-2000"
"585","N","ADMINISTRATIVE CHANGE","28-MAR-2000"
"585","N","MARKETED (NOTIFIED)","31-DEC-1954"
"587","Y","MARKETED (NOTIFIED)","01-JUN-2000"
"587","N","ADMINISTRATIVE CHANGE","28-MAR-2000"
"587","N","MARKETED (NOTIFIED)","31-DEC-1954"
"589","Y","MARKETED (NOTIFIED)","26-APR-2001"
"589","N","ADMINISTRATIVE CHANGE","08-MAR-2000"
"589","N","MARKETED (NOTIFIED)","31-DEC-1954"
"590","Y","MARKETED (NOTIFIED)","21-MAR-2001"
"590","N","ADMINISTRATIVE CHANGE","08-MAR-2000"
"590","N","MARKETED (NOTIFIED)","31-DEC-1954"
"595","Y","MARKETED (NOTIFIED)","06-MAR-2007"
"595","N","ADMINISTRATIVE CHANGE","09-JUL-2003"
"595","N","MARKETED (NOTIFIED)","31-DEC-1968"
"596","Y","MARKETED (NOTIFIED)","31-DEC-1968"
"613","Y","MARKETED (NOTIFIED)","20-JAN-2001"
"613","N","ADMINISTRATIVE CHANGE","19-JAN-2001"
"613","N","MARKETED (NOTIFIED)","31-DEC-1953"
"614","Y","MARKETED (NOTIFIED)","04-AUG-2004"
"614","N","ADMINISTRATIVE CHANGE","20-AUG-2002"
"614","N","MARKETED (NOTIFIED)","31-DEC-1965"
"615","Y","MARKETED (NOTIFIED)","06-MAR-2014"
"615","N","NOC ISSUED","26-MAR-2012"
"615","N","ADMINISTRATIVE CHANGE","22-FEB-2012"
"615","N","MARKETED (NOTIFIED)","30-OCT-2008"
"615","N","ADMINISTRATIVE CHANGE","25-JUL-2007"
"615","N","NOC ISSUED","25-JUL-2007"
"615","N","MARKETED (NOTIFIED)","31-DEC-1968"
"620","Y","MARKETED (NOTIFIED)","31-DEC-1968"
"622","Y","MARKETED (NOTIFIED)","31-DEC-1963"
"631","Y","MARKETED (NOTIFIED)","10-MAR-2010"
"631","N","NOC ISSUED","24-JUN-2009"
"631","N","ADMINISTRATIVE CHANGE","08-JUN-2009"
"631","N","MARKETED (NOTIFIED)","05-SEP-2007"
"631","N","NOC ISSUED","01-MAR-2006"
"631","N","ADMINISTRATIVE CHANGE","23-FEB-2006"
"631","N","NOC ISSUED","08-MAY-2002"
"631","N","ADMINISTRATIVE CHANGE","25-APR-2002"
"631","N","MARKETED (NOTIFIED)","16-JUN-2000"
"631","N","ADMINISTRATIVE CHANGE","09-JUN-1997"
"631","N","MARKETED (NOTIFIED)","31-DEC-1968"
"635","Y","MARKETED (NOTIFIED)","31-DEC-1964"
"636","Y","MARKETED (NOTIFIED)","31-DEC-1964"
"651","Y","MARKETED (NOTIFIED)","26-NOV-2011"
"651","N","ADMINISTRATIVE CHANGE","25-NOV-2011"
"651","N","MARKETED (NOTIFIED)","31-DEC-1966"
"673","Y","MARKETED (NOTIFIED)","27-JUL-2006"
"673","N","ADMINISTRATIVE CHANGE","27-OCT-2005"
"673","N","MARKETED (NOTIFIED)","02-OCT-2002"
"673","N","ADMINISTRATIVE CHANGE","03-MAR-2000"
"673","N","MARKETED (NOTIFIED)","31-DEC-1961"
"676","Y","MARKETED (NOTIFIED)","31-DEC-1955"
"677","Y","MARKETED (NOTIFIED)","31-DEC-1960"
"678","Y","MARKETED (NOTIFIED)","31-DEC-1950"
"679","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"682","Y","MARKETED (NOTIFIED)","17-FEB-2011"
"682","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"682","N","MARKETED (NOTIFIED)","31-DEC-1968"
"690","Y","MARKETED (NOTIFIED)","06-JUN-2005"
"690","N","ADMINISTRATIVE CHANGE","26-FEB-2004"
"690","N","ADMINISTRATIVE CHANGE","31-JUL-1997"
"690","N","MARKETED (NOTIFIED)","31-DEC-1968"
"697","Y","MARKETED (NOTIFIED)","11-JUN-2010"
"697","N","NOC ISSUED","10-JUN-2010"
"697","N","ADMINISTRATIVE CHANGE","09-JUN-2010"
"697","N","MARKETED (NOTIFIED)","31-DEC-1969"
"721","Y","MARKETED (NOTIFIED)","31-OCT-2011"
"721","N","ADMINISTRATIVE CHANGE","30-OCT-2011"
"721","N","MARKETED (NOTIFIED)","09-SEP-1998"
"721","N","ADMINISTRATIVE CHANGE","30-DEC-1997"
"721","N","MARKETED (NOTIFIED)","31-DEC-1969"
"722","Y","MARKETED (NOTIFIED)","31-DEC-1969"
"728","Y","MARKETED (NOTIFIED)","10-MAR-2005"
"728","N","NOC ISSUED","28-SEP-2004"
"728","N","ADMINISTRATIVE CHANGE","20-SEP-2004"
"728","N","MARKETED (NOTIFIED)","27-MAY-1999"
"728","N","ADMINISTRATIVE CHANGE","21-DEC-1998"
"728","N","MARKETED (NOTIFIED)","31-DEC-1961"
"731","Y","MARKETED (NOTIFIED)","29-JUN-2006"
"731","N","ADMINISTRATIVE CHANGE","11-AUG-2005"
"731","N","NOC ISSUED","11-JAN-2001"
"731","N","ADMINISTRATIVE CHANGE","05-JAN-2001"
"731","N","MARKETED (NOTIFIED)","31-DEC-1964"
"733","Y","MARKETED (NOTIFIED)","31-DEC-1959"
"740","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"744","Y","MARKETED (NOTIFIED)","10-FEB-2006"
"744","N","ADMINISTRATIVE CHANGE","28-APR-2004"
"744","N","MARKETED (NOTIFIED)","31-DEC-1969"
"745","Y","MARKETED (NOTIFIED)","29-APR-2004"
"745","N","ADMINISTRATIVE CHANGE","28-APR-2004"
"745","N","MARKETED (NOTIFIED)","31-DEC-1969"
"753","Y","MARKETED (NOTIFIED)","31-DEC-1968"
"763","Y","MARKETED (NOTIFIED)","01-MAY-2007"
"763","N","NOC ISSUED","14-SEP-2005"
"763","N","ADMINISTRATIVE CHANGE","02-SEP-2005"
"763","N","NOC ISSUED","17-JAN-2001"
"763","N","ADMINISTRATIVE CHANGE","05-JAN-2001"
"763","N","MARKETED (NOTIFIED)","31-DEC-1957"
"769","Y","MARKETED (NOTIFIED)","20-JAN-2001"
"769","N","ADMINISTRATIVE CHANGE","19-JAN-2001"
"769","N","MARKETED (NOTIFIED)","31-DEC-1968"
"771","Y","MARKETED (NOTIFIED)","01-AUG-2006"
"771","N","ADMINISTRATIVE CHANGE","11-AUG-2005"
"771","N","NOC ISSUED","11-JAN-2001"
"771","N","ADMINISTRATIVE CHANGE","05-JAN-2001"
"771","N","MARKETED (NOTIFIED)","31-DEC-1960"
"772","Y","MARKETED (NOTIFIED)","29-NOV-2005"
"772","N","ADMINISTRATIVE CHANGE","11-AUG-2005"
"772","N","ADMINISTRATIVE CHANGE","10-JAN-2001"
"772","N","MARKETED (NOTIFIED)","31-DEC-1951"
"773","Y","MARKETED (NOTIFIED)","11-APR-2006"
"773","N","ADMINISTRATIVE CHANGE","11-AUG-2005"
"773","N","ADMINISTRATIVE CHANGE","10-JAN-2001"
"773","N","MARKETED (NOTIFIED)","31-DEC-1951"
"774","Y","MARKETED (NOTIFIED)","11-APR-2006"
"774","N","ADMINISTRATIVE CHANGE","11-AUG-2005"
"774","N","ADMINISTRATIVE CHANGE","09-JAN-2001"
"774","N","MARKETED (NOTIFIED)","31-DEC-1951"
"777","Y","MARKETED (NOTIFIED)","15-DEC-1997"
"777","N","NOC ISSUED","06-JUN-1997"
"777","N","ADMINISTRATIVE CHANGE","05-JUN-1997"
"777","N","MARKETED (NOTIFIED)","31-DEC-1969"
"778","Y","MARKETED (NOTIFIED)","17-FEB-2011"
"778","N","ADMINISTRATIVE CHANGE","16-FEB-2011"
"778","N","MARKETED (NOTIFIED)","31-DEC-1968"
"780","Y","MARKETED (NOTIFIED)","31-DEC-1969"
"781","Y","MARKETED (NOTIFIED)","30-OCT-2000"
"781","N","ADMINISTRATIVE CHANGE","14-JAN-1999"
"781","N","MARKETED (NOTIFIED)","31-DEC-1969"
"783","Y","MARKETED (NOTIFIED)","07-JUL-2006"
"783","N","NOC ISSUED","18-AUG-2005"
"783","N","ADMINISTRATIVE CHANGE","19-JUL-2005"
"783","N","MARKETED (NOTIFIED)","31-DEC-1969"
"784","Y","MARKETED (NOTIFIED)","10-NOV-2005"
"784","N","NOC ISSUED","18-AUG-2005"
"784","N","ADMINISTRATIVE CHANGE","19-JUL-2005"
"784","N","MARKETED (NOTIFIED)","31-DEC-1969"
